scenario,num_ecus,ecu_id,old_state,new_state,timestamp,latency_ms,jitter_ms,throughput_mps,end_to_end_ms,sequence_number
dds_5ecus,5,ECU_005,IDLE,DOWNLOADING,2.245512,,2.751,4849.66,5.155,1
dds_5ecus,5,ECU_001,IDLE,DOWNLOADING,2.587714,,2.751,4849.66,5.155,2
dds_5ecus,5,ECU_002,IDLE,DOWNLOADING,3.346766,,2.751,4849.66,5.155,3
dds_5ecus,5,ECU_005,DOWNLOADING,VERIFYING,3.64286,,2.751,4849.66,5.155,4
dds_5ecus,5,ECU_004,IDLE,DOWNLOADING,3.688666,,2.751,4849.66,5.155,5
dds_5ecus,5,ECU_003,IDLE,DOWNLOADING,3.95858,,2.751,4849.66,5.155,6
dds_5ecus,5,ECU_001,DOWNLOADING,VERIFYING,4.30215,,2.751,4849.66,5.155,7
dds_5ecus,5,ECU_002,DOWNLOADING,VERIFYING,4.927813,,2.751,4849.66,5.155,8
dds_5ecus,5,ECU_005,VERIFYING,INSTALLING,5.062033,,2.751,4849.66,5.155,9
dds_5ecus,5,ECU_003,DOWNLOADING,VERIFYING,5.088012,,2.751,4849.66,5.155,10
dds_5ecus,5,ECU_004,DOWNLOADING,VERIFYING,5.350946,,2.751,4849.66,5.155,11
dds_5ecus,5,ECU_005,INSTALLING,REBOOTING,6.067343,,2.751,4849.66,5.155,12
dds_5ecus,5,ECU_005,REBOOTING,DONE,6.109971,3.845,2.751,4849.66,5.155,13
dds_5ecus,5,ECU_001,VERIFYING,INSTALLING,6.24543,,2.751,4849.66,5.155,14
dds_5ecus,5,ECU_002,VERIFYING,INSTALLING,6.774707,,2.751,4849.66,5.155,15
dds_5ecus,5,ECU_001,INSTALLING,REBOOTING,6.804275,,2.751,4849.66,5.155,16
dds_5ecus,5,ECU_001,REBOOTING,DONE,6.844713,4.686,2.751,4849.66,5.155,17
dds_5ecus,5,ECU_003,VERIFYING,INSTALLING,6.974282,,2.751,4849.66,5.155,18
dds_5ecus,5,ECU_004,VERIFYING,INSTALLING,7.098991,,2.751,4849.66,5.155,19
dds_5ecus,5,ECU_002,INSTALLING,REBOOTING,7.326067,,2.751,4849.66,5.155,20
dds_5ecus,5,ECU_002,REBOOTING,DONE,7.366384,3.337,2.751,4849.66,5.155,21
dds_5ecus,5,ECU_004,INSTALLING,REBOOTING,7.646881,,2.751,4849.66,5.155,22
dds_5ecus,5,ECU_004,REBOOTING,DONE,7.683025,5.155,2.751,4849.66,5.155,23
dds_5ecus,5,ECU_003,INSTALLING,REBOOTING,7.859724,,2.751,4849.66,5.155,24
dds_5ecus,5,ECU_003,REBOOTING,DONE,7.883719,2.404,2.751,4849.66,5.155,25
